K_P (speed),time,,,,,,mean time
0.05,,,,,,1.9,1.9
0.04,,,,,,2.45,2.45
0.03,,,,,,2.94,2.94
0.02,,,,,,4.11,4.11
0.01,,,,,,6.211,6.211
0.005,,,,,,7.97,7.97
0.002,,,,,,9.84,9.84
0.001,,,,,,9.93,9.93
0.1,0.689,0.737,0.675,0.636,0.668,0.681,0.681
0.11,1.167,1.329,1.166,1.235,1.139,1.2072,1.2072
0.09,0.788,0.93,0.741,0.735,0.83,0.8048,0.8048
0.08,1.069,1.072,1.024,0.981,1.071,1.0434,1.0434
0.105,1.173,1.025,1.286,0.784,1.266,1.1068,1.1068
0.12,1.027,1.072,1.072,1.04,1.182,1.0786,1.0786
0.13,1.117,1.076,1.024,1.119,0.976,1.0624,1.0624
0.14,0.976,1.024,1.371,1.036,1.568,1.195,1.195
0.15,1.424,1.525,1.232,1.566,1.409,1.4312,1.4312
0.16,1.405,1.455,1.552,1.555,1.407,1.4748,1.4748
0.17,1.379,1.472,1.456,1.355,1.475,1.4274,1.4274
0.2,2.003,2.161,2.257,2.302,2.141,2.1728,2.1728
0.25,3.568,4.561,2.549,2.994,2.685,3.2714,3.2714
0.3,10,5.921,10,10,10,9.1842,9.1842
0.27,3.028,5.324,3.284,10,3.426,5.0124,5.0124
