KP,Seconds
0.12,21.90381622314453
0.12,0.8791487216949463
0.03,2.9431889057159424
0.1,0.6890506744384766
0.11,0.690920352935791
0.09,0.7880892753601074
0.09,0.9297044277191162
0.09,0.7408053874969482
0.09,0.7352554798126221
0.09,0.8302183151245117
0.08,1.0693399906158447
0.08,1.0721664428710938
0.08,1.0238001346588135
0.08,0.9810590744018555
0.08,1.0708942413330078
0.105,1.17338228225708
0.105,1.0251991748809814
0.105,1.285994529724121
0.105,0.7844624519348145
0.105,1.2656781673431396
0.12,1.0718810558319092
0.12,1.0719664096832275
0.12,1.0396175384521484
0.12,1.182499885559082
0.12,1.0716252326965332
0.13,1.1170663833618164
0.13,1.075798749923706
0.13,1.0239613056182861
0.13,1.1190521717071533
0.13,0.97574782371521
0.13,1.0730807781219482
0.14,0.9762487411499023
0.14,1.024064064025879
0.14,1.370929479598999
0.14,1.03609037399292
0.14,1.56795334815979
0.14,1.0721111297607422
0.15,1.4243648052215576
0.15,1.5247175693511963
0.15,1.231980562210083
0.15,1.5659911632537842
0.15,1.408940315246582
0.16,1.4047882556915283
0.16,1.455085277557373
0.16,1.5517425537109375
0.16,1.5550599098205566
0.16,1.4073386192321777
0.17,1.3792192935943604
0.17,1.471740961074829
0.17,1.4561703205108643
0.17,1.3553807735443115
0.17,1.4752397537231445
0.25,3.568431854248047
0.25,4.5606067180633545
0.25,2.5489602088928223
0.25,2.9939703941345215
0.25,2.685408592224121
